id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level
17925,State Environmental Review Clearinghouse,state-environmental-review-clearinghouse,approved,,,,,,,,,https://www.muckrock.com/agency/raleigh-346/state-environmental-review-clearinghouse-17925/,0,0,0,False,True,True,True,1,0,0,1,0,0,0,0,0,0,0,0,Raleigh,North Carolina,l
17938,Office of State Public Defender,office-of-state-public-defender,approved,,,,,http://www.ospd.ms.gov/ContactOSPD.html,,,,https://www.muckrock.com/agency/jackson-19622/office-of-state-public-defender-17938/,0,0,100,False,True,True,True,1,1,0,0,0,0,0,0,0,0,0,0,Jackson,Mississippi,l
17962,Office Of State Procurement,office-of-state-procurement-1509-west-7th-street-room-300-little-rock-arkansas-72201-4222,approved,,,,,https://humanservices.arkansas.gov/resources/foi,,,,https://www.muckrock.com/agency/united-states-of-america-10/office-of-state-procurement-1509-west-7th-street-room-300-little-rock-arkansas-72201-4222-17962/,41,0,0,True,True,False,True,1,0,1,0,0,0,0,0,0,0,0,0,United States of America,,f
17970,Arizona State Board Of Massage Therapy,arizona-state-board-of-massage-therapy,approved,,,,,https://massagetherapy.az.gov/contact-us,,,,https://www.muckrock.com/agency/phoenix-94/arizona-state-board-of-massage-therapy-17970/,0,0,0,True,True,True,True,1,0,0,0,0,1,0,0,0,0,0,0,Phoenix,Arizona,l
17973,"Department Of Public Safety, Georgia State Patrol",department-of-public-safety-georgia-state-patrol,approved,,,,,https://dps.georgia.gov/open-records,,,,https://www.muckrock.com/agency/atlanta-325/department-of-public-safety-georgia-state-patrol-17973/,0,0,0,False,True,True,True,1,0,0,0,0,0,1,0,0,0,0,0,Atlanta,Georgia,l
18036,Statesville Police Department,statesville-police-department,approved,,,,,,,,,https://www.muckrock.com/agency/statesville-4498/statesville-police-department-18036/,13,0,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Statesville,North Carolina,l
18057,Ohio Statewide Terrorism Analysis and Crime Center,ohio-statewide,approved,,,,,,,,,https://www.muckrock.com/agency/columbus-323/ohio-statewide-18057/,83,0,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Columbus,Ohio,l
18181,New York State Office Of The Attorney General,new-york-state-office-of-the-attorney-general,approved,,,,,,,,,https://www.muckrock.com/agency/albany-720/new-york-state-office-of-the-attorney-general-18181/,46,0,100,True,False,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Albany,New York,l
18286,Idaho State Department Of Agriculture,idaho-state-department-of-agriculture,approved,,,,,https://agri.idaho.gov/main/i-need-to/see-lawsrules/requests-for-public-records/,,,,https://www.muckrock.com/agency/united-states-of-america-10/idaho-state-department-of-agriculture-18286/,2,0,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,United States of America,,f
18287,Washington State Department Of Agriculture,washington-state-department-of-agriculture,approved,,,,,https://agr.wa.gov/contact-us/public-disclosure,,,,https://www.muckrock.com/agency/united-states-of-america-10/washington-state-department-of-agriculture-18287/,15,0,0,True,True,False,True,1,0,0,1,0,0,0,0,0,0,0,0,United States of America,,f
